Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
401,136,2,2014-01-21T00:00:00.000,,
402,28,16,2014-01-21T00:00:00.000,,
403,60,2,2014-01-21T00:00:00.000,,
404,63,2,2014-01-21T00:00:00.000,,
405,75,2,2014-01-21T00:00:00.000,,
406,50,2,2014-01-21T00:00:00.000,,
407,55,2,2014-01-21T00:00:00.000,,
408,85,2,2014-01-21T00:00:00.000,,
409,134,2,2014-01-22T00:00:00.000,,
410,69,2,2014-01-22T00:00:00.000,,
411,11,3,2014-01-22T00:00:00.000,,
412,136,2,2014-01-22T00:00:00.000,,
413,28,2,2014-01-22T00:00:00.000,,
414,75,2,2014-01-22T00:00:00.000,,
415,26,2,2014-01-22T00:00:00.000,,
416,112,2,2014-01-22T00:00:00.000,,
417,99,2,2014-01-22T00:00:00.000,,
418,4,2,2014-01-22T00:00:00.000,,
419,1,2,2014-01-22T00:00:00.000,,
420,134,2,2014-01-22T00:00:00.000,,
421,126,2,2014-01-22T00:00:00.000,,
422,69,2,2014-01-22T00:00:00.000,,
423,85,2,2014-01-22T00:00:00.000,,
424,93,2,2014-01-22T00:00:00.000,,
425,18,2,2014-01-22T00:00:00.000,,
426,87,2,2014-01-22T00:00:00.000,,
427,13,2,2014-01-22T00:00:00.000,,
428,3,2,2014-01-22T00:00:00.000,,
429,99,2,2014-01-22T00:00:00.000,,
430,50,2,2014-01-22T00:00:00.000,,
431,28,2,2014-01-22T00:00:00.000,,
432,26,2,2014-01-22T00:00:00.000,,
433,65,2,2014-01-22T00:00:00.000,,
434,134,2,2014-01-22T00:00:00.000,,
435,32,1,2014-01-22T00:00:00.000,,
436,26,2,2014-01-22T00:00:00.000,,
437,22,2,2014-01-22T00:00:00.000,,
438,129,2,2014-01-22T00:00:00.000,,
441,126,2,2014-01-22T00:00:00.000,,
442,22,2,2014-01-22T00:00:00.000,,
443,26,2,2014-01-22T00:00:00.000,,
444,50,2,2014-01-22T00:00:00.000,,
445,140,2,2014-01-22T00:00:00.000,,
446,108,2,2014-01-22T00:00:00.000,,
447,108,1,2014-01-22T00:00:00.000,,
448,34,2,2014-01-22T00:00:00.000,,
449,25,2,2014-01-22T00:00:00.000,,
450,95,16,2014-01-22T00:00:00.000,,
451,110,16,2014-01-22T00:00:00.000,,
452,116,16,2014-01-22T00:00:00.000,,
453,131,2,2014-01-22T00:00:00.000,,
454,123,2,2014-01-22T00:00:00.000,,
455,136,1,2014-01-22T00:00:00.000,,
456,123,15,2014-01-22T00:00:00.000,,
457,33,2,2014-01-22T00:00:00.000,,
458,42,2,2014-01-22T00:00:00.000,,
459,129,2,2014-01-22T00:00:00.000,,
460,120,2,2014-01-22T00:00:00.000,,
461,82,2,2014-01-22T00:00:00.000,,
462,91,2,2014-01-22T00:00:00.000,,
463,90,2,2014-01-22T00:00:00.000,,
464,93,2,2014-01-22T00:00:00.000,,
465,138,2,2014-01-22T00:00:00.000,,
466,138,5,2014-01-22T00:00:00.000,87,
467,28,2,2014-01-22T00:00:00.000,,
468,28,5,2014-01-22T00:00:00.000,87,
469,5,2,2014-01-22T00:00:00.000,,
470,5,5,2014-01-22T00:00:00.000,87,
471,138,2,2014-01-22T00:00:00.000,,
472,69,2,2014-01-22T00:00:00.000,,
473,134,2,2014-01-22T00:00:00.000,,
474,139,2,2014-01-22T00:00:00.000,,
475,140,2,2014-01-22T00:00:00.000,,
476,135,2,2014-01-22T00:00:00.000,,
477,126,2,2014-01-22T00:00:00.000,,
478,64,2,2014-01-22T00:00:00.000,,
480,134,1,2014-01-22T00:00:00.000,,
481,134,2,2014-01-22T00:00:00.000,,
482,146,3,2014-01-22T00:00:00.000,,
483,143,2,2014-01-22T00:00:00.000,,
484,70,2,2014-01-22T00:00:00.000,,
486,148,3,2014-01-22T00:00:00.000,,
487,149,2,2014-01-22T00:00:00.000,,
488,150,2,2014-01-22T00:00:00.000,,
489,150,3,2014-01-22T00:00:00.000,,
490,153,2,2014-01-22T00:00:00.000,,
491,121,2,2014-01-22T00:00:00.000,,
492,125,2,2014-01-22T00:00:00.000,,
493,81,2,2014-01-22T00:00:00.000,,
494,155,3,2014-01-22T00:00:00.000,,
495,137,2,2014-01-22T00:00:00.000,,
496,156,2,2014-01-22T00:00:00.000,,
497,150,2,2014-01-22T00:00:00.000,,
498,149,2,2014-01-22T00:00:00.000,,
499,153,2,2014-01-22T00:00:00.000,,
500,157,2,2014-01-22T00:00:00.000,,
501,158,3,2014-01-22T00:00:00.000,,
502,158,2,2014-01-22T00:00:00.000,,
503,155,2,2014-01-22T00:00:00.000,,
504,160,2,2014-01-22T00:00:00.000,,
505,157,2,2014-01-22T00:00:00.000,,
506,150,2,2014-01-22T00:00:00.000,,
507,156,2,2014-01-22T00:00:00.000,,
508,158,16,2014-01-22T00:00:00.000,,
509,143,2,2014-01-22T00:00:00.000,,
510,145,2,2014-01-22T00:00:00.000,,
511,141,2,2014-01-22T00:00:00.000,,
512,112,2,2014-01-22T00:00:00.000,,
513,113,2,2014-01-22T00:00:00.000,,
514,120,2,2014-01-22T00:00:00.000,,
515,93,2,2014-01-22T00:00:00.000,,
516,137,2,2014-01-22T00:00:00.000,,
517,111,2,2014-01-22T00:00:00.000,,
518,88,2,2014-01-22T00:00:00.000,,
519,80,2,2014-01-22T00:00:00.000,,
520,89,2,2014-01-22T00:00:00.000,,
521,78,2,2014-01-22T00:00:00.000,,
522,72,2,2014-01-22T00:00:00.000,,
523,67,2,2014-01-22T00:00:00.000,,
524,65,2,2014-01-22T00:00:00.000,,
525,71,2,2014-01-22T00:00:00.000,,
526,20,2,2014-01-22T00:00:00.000,,
527,13,2,2014-01-22T00:00:00.000,,
528,162,3,2014-01-22T00:00:00.000,,
529,113,2,2014-01-22T00:00:00.000,,
530,120,2,2014-01-22T00:00:00.000,,
531,144,2,2014-01-22T00:00:00.000,,
532,164,2,2014-01-22T00:00:00.000,,
533,161,2,2014-01-22T00:00:00.000,,
534,123,2,2014-01-22T00:00:00.000,,
535,131,2,2014-01-22T00:00:00.000,,
536,126,2,2014-01-22T00:00:00.000,,
537,143,2,2014-01-22T00:00:00.000,,
538,82,2,2014-01-22T00:00:00.000,,
539,91,2,2014-01-22T00:00:00.000,,
540,160,2,2014-01-22T00:00:00.000,,
541,117,2,2014-01-22T00:00:00.000,,
542,76,2,2014-01-22T00:00:00.000,,
543,70,2,2014-01-22T00:00:00.000,,
544,88,2,2014-01-22T00:00:00.000,,
545,75,2,2014-01-22T00:00:00.000,,
546,63,2,2014-01-22T00:00:00.000,,
547,153,2,2014-01-22T00:00:00.000,,
548,166,2,2014-01-22T00:00:00.000,,
549,159,2,2014-01-22T00:00:00.000,,
550,81,2,2014-01-22T00:00:00.000,,
552,32,2,2014-01-22T00:00:00.000,,
553,16,2,2014-01-22T00:00:00.000,,
554,150,2,2014-01-22T00:00:00.000,,
555,126,2,2014-01-22T00:00:00.000,,
556,88,1,2014-01-22T00:00:00.000,,
557,102,2,2014-01-22T00:00:00.000,,
558,70,2,2014-01-22T00:00:00.000,,
559,35,2,2014-01-22T00:00:00.000,,
560,10,2,2014-01-22T00:00:00.000,,
561,170,2,2014-01-22T00:00:00.000,,
562,126,2,2014-01-22T00:00:00.000,,
563,131,2,2014-01-22T00:00:00.000,,
564,167,2,2014-01-22T00:00:00.000,,
565,161,2,2014-01-22T00:00:00.000,,
566,155,2,2014-01-22T00:00:00.000,,
567,102,2,2014-01-22T00:00:00.000,,
568,175,2,2014-01-22T00:00:00.000,,
569,150,2,2014-01-22T00:00:00.000,,
570,176,2,2014-01-22T00:00:00.000,,
571,170,2,2014-01-22T00:00:00.000,,
572,167,2,2014-01-22T00:00:00.000,,
573,81,2,2014-01-22T00:00:00.000,,
574,169,2,2014-01-22T00:00:00.000,,
575,177,2,2014-01-22T00:00:00.000,,
576,33,2,2014-01-22T00:00:00.000,,
577,72,2,2014-01-22T00:00:00.000,,
578,123,2,2014-01-22T00:00:00.000,,
579,36,2,2014-01-22T00:00:00.000,,
580,169,2,2014-01-22T00:00:00.000,,
581,160,2,2014-01-22T00:00:00.000,,
582,143,2,2014-01-22T00:00:00.000,,
583,12,2,2014-01-22T00:00:00.000,,
584,25,2,2014-01-22T00:00:00.000,,
585,20,2,2014-01-22T00:00:00.000,,
587,105,2,2014-01-22T00:00:00.000,,
589,37,2,2014-01-22T00:00:00.000,,
590,53,2,2014-01-22T00:00:00.000,,
591,107,2,2014-01-22T00:00:00.000,,
592,28,2,2014-01-22T00:00:00.000,,
593,17,2,2014-01-22T00:00:00.000,,
594,116,2,2014-01-22T00:00:00.000,,
595,9,3,2014-01-22T00:00:00.000,,
596,24,2,2014-01-22T00:00:00.000,,
597,11,2,2014-01-22T00:00:00.000,,
598,2,2,2014-01-22T00:00:00.000,,
599,41,2,2014-01-22T00:00:00.000,,
600,89,2,2014-01-22T00:00:00.000,,
601,156,2,2014-01-22T00:00:00.000,,
602,106,2,2014-01-22T00:00:00.000,,
603,174,2,2014-01-22T00:00:00.000,,
604,83,2,2014-01-22T00:00:00.000,,
605,4,2,2014-01-22T00:00:00.000,,
606,28,2,2014-01-22T00:00:00.000,,
607,127,2,2014-01-22T00:00:00.000,,
608,178,2,2014-01-22T00:00:00.000,,
609,15,2,2014-01-22T00:00:00.000,,
610,153,2,2014-01-22T00:00:00.000,,
611,159,2,2014-01-22T00:00:00.000,,
612,35,2,2014-01-22T00:00:00.000,,
613,44,2,2014-01-22T00:00:00.000,,
614,43,2,2014-01-22T00:00:00.000,,
615,51,2,2014-01-22T00:00:00.000,,
616,165,2,2014-01-22T00:00:00.000,,
